25 35

1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	2	2	1	1	1	1	2
1	0	0	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	2	2	2	2	2	2
1	0	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1
1	0	0	1	1	2	1	1	1	1	1	1	0	0	8	8	8	2	8	2	2	1	1	1	1
1	0	1	1	1	2	1	1	1	1	1	0	0	2	2	8	8	2	8	8	2	2	1	1	1
1	1	1	0	1	2	2	2	2	1	0	0	8	8	2	5	5	2	5	8	8	2	2	1	1
0	0	1	0	1	2	5	5	2	2	0	8	8	8	2	5	5	2	5	5	8	8	2	1	1
0	0	1	0	1	2	5	5	5	2	2	2	2	2	2	5	5	2	5	5	5	8	2	2	1
0	1	1	0	1	2	5	5	5	8	0	8	8	8	2	2	2	2	2	2	2	2	2	2	1
1	1	0	0	1	2	5	5	5	8	0	0	8	8	2	8	8	2	5	5	5	2	1	2	2
1	0	0	1	1	2	5	5	5	8	8	0	0	8	2	8	8	2	5	5	5	2	1	1	2
0	0	1	1	2	2	5	5	5	8	8	8	0	8	2	2	2	2	2	2	2	2	5	1	2
1	1	1	2	2	5	5	5	5	2	2	2	2	2	2	8	8	2	5	5	5	2	5	1	2
1	1	2	2	2	2	2	2	2	2	5	5	0	5	2	8	8	2	5	5	5	2	5	1	2
1	2	2	5	2	5	5	5	5	5	5	0	0	5	2	8	8	2	5	5	5	2	5	1	2
1	2	5	5	2	5	5	5	0	0	0	0	5	5	2	8	8	2	5	5	5	2	5	1	2
1	2	5	0	2	0	0	0	0	5	5	5	5	5	2	5	5	2	1	1	1	2	5	1	2
2	2	5	0	2	1	1	1	1	1	1	1	1	5	2	5	5	2	1	1	1	2	5	1	2
2	1	5	0	2	1	0	0	1	5	1	1	5	5	2	5	5	2	5	5	5	2	5	1	2
2	0	0	0	2	1	0	1	1	5	1	1	5	5	2	5	5	2	5	5	5	2	5	1	2
2	1	1	1	2	1	0	1	1	5	1	1	5	2	2	2	2	2	2	2	2	2	2	2	2
2	2	1	1	2	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	5	2
1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	5	5	1	1	1	1	1	2	5	2
1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	1	1	5	5	2	5	2
1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	1	2	5	5	2	2	2
1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	5	5	5	1	2	5	2	2	1	2
1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	2
1	2	1	1	1	2	2	1	1	1	1	1	1	1	2	5	5	5	1	2	5	2	1	1	2
1	2	1	1	1	1	2	1	1	5	5	1	1	1	2	5	5	5	1	2	5	2	1	1	2
1	2	1	1	1	1	2	1	1	5	5	1	1	1	2	5	5	5	1	2	2	2	1	1	2
5	2	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2
5	2	1	5	5	1	1	2	1	1	1	1	5	5	2	1	1	1	1	2	1	1	1	1	2
5	2	5	5	5	1	1	2	1	1	1	1	5	5	2	1	1	1	1	2	1	1	1	1	2
5	2	5	5	5	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2

10	10	10	10	10	30	20	20	20	20	20	20	10	0	20	20	10	10	30	30	10	10	10	10	30
10	0	0	10	10	30	20	20	20	20	10	10	10	0	20	20	10	10	10	30	30	30	30	30	30
10	0	0	10	10	30	30	30	30	30	30	30	30	10	30	30	30	30	30	30	20	20	20	10	10
10	0	0	10	10	30	20	20	20	20	20	20	0	0	20	20	20	30	20	30	30	20	20	10	10
10	0	10	10	10	30	20	20	20	20	20	0	0	30	30	20	20	30	20	20	30	30	20	10	10
10	10	10	0	10	30	30	30	30	20	0	0	20	20	30	30	30	30	30	20	20	30	30	10	10
0	0	10	0	10	30	20	30	30	30	0	20	20	20	30	30	30	30	30	30	20	20	30	10	10
0	0	10	0	10	30	20	30	30	30	10	30	30	30	30	30	30	30	30	30	30	20	30	30	10
0	10	10	0	10	30	20	30	30	20	0	20	20	20	30	30	30	30	30	30	30	30	30	30	10
10	10	0	0	10	30	20	30	30	20	0	0	20	20	30	20	20	30	30	30	30	30	10	30	30
10	0	0	10	10	30	20	20	20	20	20	0	0	20	30	20	20	30	30	30	30	30	10	10	30
0	0	10	10	30	30	20	20	20	20	20	20	0	20	30	30	30	30	30	30	30	30	20	10	30
10	10	10	30	30	20	20	20	20	30	30	30	10	30	30	20	20	30	30	30	30	30	20	10	30
10	10	30	30	30	30	30	30	30	30	20	20	0	20	30	20	20	30	30	30	30	30	20	10	30
10	30	30	20	30	20	20	30	30	30	20	0	0	20	30	20	20	30	30	30	30	30	20	10	30
10	30	20	20	30	20	20	30	0	0	0	0	20	20	30	20	20	30	30	30	30	30	20	10	30
10	30	20	0	10	0	0	0	0	20	20	20	20	20	30	20	20	30	10	10	10	30	20	10	30
30	30	20	0	30	10	10	10	10	10	10	10	10	20	30	20	20	30	10	10	10	30	20	10	30
30	10	20	0	30	10	0	0	10	20	10	10	20	20	30	20	20	30	20	20	20	30	20	10	30
10	0	0	0	30	10	0	10	10	20	10	10	20	20	30	20	20	30	20	20	20	30	20	10	30
30	10	10	10	30	10	0	10	10	20	10	10	20	30	30	30	30	30	30	30	30	30	30	30	30
30	30	10	10	30	10	10	10	30	30	30	30	30	30	30	10	10	10	10	10	10	10	30	20	30
10	30	30	30	30	30	30	30	30	10	10	10	20	20	30	20	20	10	10	10	10	10	30	20	30
10	30	10	10	10	10	10	10	10	10	10	10	20	20	30	20	20	20	10	10	20	20	30	20	30
10	30	30	20	20	20	20	20	20	20	10	20	20	20	30	20	20	20	10	30	20	20	30	30	30
10	30	30	30	30	20	20	20	20	20	10	20	20	20	30	20	20	20	10	30	20	30	30	10	30
10	30	20	20	30	30	20	20	20	20	10	20	20	20	30	30	30	30	30	30	30	30	20	10	30
10	30	20	20	20	30	30	10	10	10	10	10	10	10	30	20	20	20	10	30	20	30	20	10	30
10	30	20	20	20	20	30	20	20	30	30	10	20	20	30	20	20	20	10	30	20	30	20	10	30
10	30	20	20	20	20	30	20	20	30	30	10	20	20	30	20	20	20	10	30	30	30	20	10	30
20	30	20	20	20	20	30	30	20	20	20	10	20	20	30	20	20	20	20	30	30	20	20	10	30
20	30	20	20	20	20	20	30	20	20	20	20	30	30	30	20	20	20	20	30	20	20	20	10	30
20	30	20	20	20	20	20	30	20	20	20	20	30	30	30	20	20	20	20	30	20	20	10	10	30
20	30	20	20	20	20	20	30	20	20	20	20	20	20	30	20	20	20	20	30	20	20	20	20	30
30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30


10	10	10	10	10	10	20	20	20	20	20	20	10	20	20	20	10	10	10	10	10	10	10	10	10
10	20	20	10	10	10	20	20	20	20	10	10	10	20	20	20	10	10	10	10	10	10	10	10	10
10	20	20	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	10	20	20	20	10	10
10	20	20	10	10	10	20	20	20	20	20	20	20	20	30	30	30	10	30	10	10	20	20	10	10
10	20	10	10	10	10	20	20	20	20	20	20	20	10	10	30	30	10	30	30	10	10	20	10	10
10	10	10	20	10	10	10	10	10	20	20	20	30	30	10	20	20	10	20	30	30	10	10	10	10
20	20	10	20	10	10	30	20	10	10	20	30	30	30	10	20	20	10	20	20	30	30	10	10	10
20	20	10	20	10	10	30	20	20	10	15	10	10	10	10	20	20	10	20	20	20	30	10	10	10
20	10	10	20	10	10	30	20	20	30	20	30	30	30	10	10	10	10	10	10	10	10	10	10	10
10	10	20	20	10	10	30	20	20	30	20	20	30	30	10	30	30	10	20	20	20	10	10	10	10
10	20	20	10	10	10	30	30	30	30	30	20	20	30	10	30	30	10	20	20	20	10	10	10	10
20	20	10	10	10	10	30	30	30	30	30	30	20	30	10	10	10	10	10	10	10	10	30	10	10
10	10	10	10	10	30	30	30	30	10	10	10	15	10	10	30	30	10	20	20	20	10	30	10	10
